 pres temp vfr mfr    comp
 +030.23 +025.05 +0.4325 +0.8898    Air
 +030.23 +025.05 +0.4355 +0.8958    Air
 +030.23 +025.05 +0.4378 +0.9004    Air
 +030.23 +025.05 +0.4393 +0.9036    Air
 +030.22 +025.05 +0.4403 +0.9056    Air
 +030.22 +025.05 +0.4409 +0.9064    Air
 +030.22 +025.05 +0.4410 +0.9068    Air
 +030.22 +025.05 +0.4411 +0.9070    Air
 +030.22 +025.05 +0.4412 +0.9071    Air
 +030.22 +025.05 +0.4412 +0.9071    Air
 +030.22 +025.05 +0.4414 +0.9075    Air
 +030.22 +025.05 +0.4418 +0.9084    Air
 +030.22 +025.05 +0.4432 +0.9114    Air
 +030.22 +025.05 +0.4451 +0.9153    Air
 +030.21 +025.05 +0.4473 +0.9196    Air
 +030.21 +025.05 +0.4492 +0.9234    Air
 +030.21 +025.05 +0.4502 +0.9253    Air
 +030.21 +025.05 +0.4504 +0.9257    Air
 +030.21 +025.05 +0.4503 +0.9257    Air
 +030.21 +025.05 +0.4504 +0.9259    Air
 +030.21 +025.05 +0.4502 +0.9255    Air
 +030.21 +025.05 +0.4503 +0.9256    Air
 +030.21 +025.05 +0.4503 +0.9256    Air
 +030.21 +025.05 +0.4503 +0.9257    Air
 +030.21 +025.05 +0.4502 +0.9256    Air
 +030.21 +025.05 +0.4497 +0.9245    Air
 +030.21 +025.05 +0.4500 +0.9250    Air
 +030.21 +025.05 +0.4514 +0.9280    Air
 +030.21 +025.05 +0.4531 +0.9314    Air
 +030.21 +025.05 +0.4553 +0.9359    Air
 +030.20 +025.05 +0.4570 +0.9392    Air
 +030.20 +025.05 +0.4573 +0.9399    Air
 +030.20 +025.05 +0.4579 +0.9411    Air
 +030.20 +025.05 +0.4586 +0.9423    Air
 +030.20 +025.05 +0.4589 +0.9430    Air
 +030.20 +025.05 +0.4590 +0.9432    Air
 +030.20 +025.05 +0.4591 +0.9434    Air
 +030.20 +025.05 +0.4591 +0.9434    Air
 +030.20 +025.05 +0.4591 +0.9434    Air
 +030.20 +025.05 +0.4597 +0.9446    Air
 +030.20 +025.05 +0.4607 +0.9467    Air
 +030.20 +025.05 +0.4620 +0.9491    Air
 +030.20 +025.05 +0.4635 +0.9522    Air
 +030.19 +025.05 +0.4650 +0.9554    Air
 +030.19 +025.05 +0.4664 +0.9582    Air
 +030.19 +025.05 +0.4675 +0.9604    Air
 +030.19 +025.05 +0.4682 +0.9618    Air
 +030.19 +025.05 +0.4685 +0.9623    Air
 +030.19 +025.05 +0.4688 +0.9629    Air
 +030.19 +025.05 +0.4688 +0.9629    Air
 +030.19 +025.05 +0.4689 +0.9632    Air
 +030.19 +025.05 +0.4689 +0.9631    Air
 +030.19 +025.05 +0.4697 +0.9648    Air
 +030.19 +025.05 +0.4707 +0.9670    Air
 +030.19 +025.05 +0.4720 +0.9696    Air
 +030.18 +025.05 +0.4737 +0.9728    Air
 +030.18 +025.05 +0.4749 +0.9753    Air
 +030.18 +025.05 +0.4756 +0.9768    Air
 +030.18 +025.05 +0.4761 +0.9775    Air
 +030.18 +025.05 +0.4763 +0.9780    Air
 +030.18 +025.05 +0.4764 +0.9782    Air
 +030.18 +025.05 +0.4764 +0.9782    Air
 +030.18 +025.05 +0.4764 +0.9781    Air
 +030.18 +025.05 +0.4766 +0.9787    Air
 +030.18 +025.05 +0.4770 +0.9794    Air
 +030.18 +025.05 +0.4773 +0.9799    Air
 +030.18 +025.05 +0.4776 +0.9805    Air
 +030.18 +025.05 +0.4779 +0.9811    Air
 +030.18 +025.05 +0.4779 +0.9813    Air
 +030.18 +025.05 +0.4780 +0.9814    Air
 +030.18 +025.05 +0.4780 +0.9814    Air
 +030.18 +025.05 +0.4780 +0.9816    Air
 +030.18 +025.05 +0.4780 +0.9816    Air
 +030.18 +025.05 +0.4786 +0.9826    Air
 +030.18 +025.05 +0.4793 +0.9841    Air
 +030.18 +025.05 +0.4802 +0.9858    Air
 +030.17 +025.05 +0.4811 +0.9878    Air
 +030.17 +025.05 +0.4817 +0.9889    Air
 +030.17 +025.05 +0.4821 +0.9896    Air
 +030.17 +025.05 +0.4821 +0.9898    Air
 +030.17 +025.05 +0.4822 +0.9900    Air
 +030.17 +025.05 +0.4822 +0.9900    Air
 +030.17 +025.05 +0.4830 +0.9915    Air
 +030.17 +025.05 +0.4843 +0.9940    Air
 +030.17 +025.05 +0.4851 +0.9959    Air
 +030.17 +025.05 +0.4856 +0.9968    Air
 +030.17 +025.05 +0.4858 +0.9973    Air
 +030.17 +025.05 +0.4859 +0.9974    Air
 +030.17 +025.05 +0.4859 +0.9975    Air
 +030.17 +025.05 +0.4860 +0.9976    Air
 +030.17 +025.05 +0.4862 +0.9981    Air
 +030.17 +025.05 +0.4870 +0.9997    Air
 +030.17 +025.05 +0.4877 +1.0011    Air
 +030.16 +025.05 +0.4880 +1.0017    Air
 +030.17 +025.05 +0.4880 +1.0017    Air
 +030.16 +025.05 +0.4881 +1.0019    Air
 +030.16 +025.05 +0.4881 +1.0019    Air
 +030.17 +025.05 +0.4885 +1.0025    Air
 +030.17 +025.05 +0.4889 +1.0036    Air
 +030.16 +025.05 +0.4892 +1.0040    Air
 +030.16 +025.05 +0.4893 +1.0043    Air
 +030.17 +025.05 +0.4894 +1.0045    Air
 +030.17 +025.05 +0.4893 +1.0045    Air
 +030.16 +025.05 +0.4893 +1.0043    Air
 +030.16 +025.05 +0.4898 +1.0054    Air
 +030.16 +025.05 +0.4901 +1.0059    Air
 +030.16 +025.05 +0.4904 +1.0064    Air
 +030.16 +025.05 +0.4904 +1.0066    Air
 +030.17 +025.05 +0.4905 +1.0068    Air
 +030.16 +025.05 +0.4905 +1.0068    Air
 +030.16 +025.05 +0.4907 +1.0073    Air
 +030.16 +025.05 +0.4910 +1.0078    Air
 +030.16 +025.05 +0.4910 +1.0078    Air
 +030.16 +025.05 +0.4910 +1.0077    Air
 +030.17 +025.05 +0.4910 +1.0079    Air
 +030.17 +025.05 +0.4914 +1.0086    Air
 +030.16 +025.05 +0.4916 +1.0088    Air
 +030.16 +025.05 +0.4916 +1.0090    Air
 +030.16 +025.05 +0.4915 +1.0088    Air
 +030.16 +025.05 +0.4916 +1.0089    Air
 +030.16 +025.05 +0.4916 +1.0089    Air
