time_ms , sensor , currpos , mflow
70834 , b , -6400 , 4.494666
70884 , b , -6400 , 4.494667
70934 , b , -6400 , 4.506669
70984 , b , -6400 , 4.500001
71034 , b , -6400 , 4.468666
71084 , b , -6400 , 4.504002
71134 , b , -6400 , 4.496666
71184 , b , -6400 , 4.458666
71234 , b , -6400 , 4.469998
71284 , b , -6400 , 4.489333
71334 , b , -6400 , 4.501998
71384 , b , -6400 , 4.504000
71434 , b , -6400 , 4.524002
71484 , b , -6400 , 4.487998
71534 , b , -6400 , 4.500000
71584 , b , -6400 , 4.462664
71634 , b , -6400 , 4.524668
71684 , b , -6400 , 4.501331
71734 , b , -6400 , 4.484001
71784 , b , -6400 , 4.472000
71834 , b , -6400 , 4.491332
71884 , b , -6400 , 4.429333
71934 , b , -6400 , 4.451332
71984 , b , -6400 , 4.487334
72034 , b , -6400 , 4.466665
72084 , b , -6400 , 4.503334
72134 , b , -6400 , 4.473331
72184 , b , -6400 , 4.449333
72234 , b , -6400 , 4.508668
72284 , b , -6400 , 4.494001
72334 , b , -6400 , 4.488665
72384 , b , -6400 , 4.500667
72434 , b , -6400 , 4.510002
72484 , b , -6400 , 4.551333
72534 , b , -6400 , 4.463999
72584 , b , -6400 , 4.475998
72634 , b , -6400 , 4.461998
72684 , b , -6400 , 4.458664
73413 , b , -6800 , 4.846667
73463 , b , -6800 , 4.864001
73513 , b , -6800 , 4.880000
73563 , b , -6800 , 4.839332
73613 , b , -6800 , 4.836000
73663 , b , -6800 , 4.830000
73713 , b , -6800 , 4.864667
73763 , b , -6800 , 4.845999
73813 , b , -6800 , 4.806666
73863 , b , -6800 , 4.834667
73913 , b , -6800 , 4.832666
73963 , b , -6800 , 4.840667
74013 , b , -6800 , 4.848666
74063 , b , -6800 , 4.831334
74113 , b , -6800 , 4.881999
74163 , b , -6800 , 4.868000
74213 , b , -6800 , 4.893999
74263 , b , -6800 , 4.869334
74313 , b , -6800 , 4.863333
74363 , b , -6800 , 4.859332
74413 , b , -6800 , 4.825333
74463 , b , -6800 , 4.841333
74513 , b , -6800 , 4.879334
74563 , b , -6800 , 4.843333
74613 , b , -6800 , 4.872666
74663 , b , -6800 , 4.854667
74713 , b , -6800 , 4.857332
74763 , b , -6800 , 4.848000
74813 , b , -6800 , 4.839334
74863 , b , -6800 , 4.834667
74913 , b , -6800 , 4.832000
74963 , b , -6800 , 4.825333
75013 , b , -6800 , 4.823999
75063 , b , -6800 , 4.843333
75113 , b , -6800 , 4.895334
75163 , b , -6800 , 4.811333
75213 , b , -6800 , 4.874666
75263 , b , -6800 , 4.854666
75313 , b , -6800 , 4.790000
75363 , b , -6800 , 4.870000
75413 , b , -6800 , 4.879332
76142 , b , -7200 , 5.306001
76192 , b , -7200 , 5.303334
76242 , b , -7200 , 5.252001
76292 , b , -7200 , 5.310667
76342 , b , -7200 , 5.297334
76392 , b , -7200 , 5.315334
76442 , b , -7200 , 5.296668
76492 , b , -7200 , 5.322001
76542 , b , -7200 , 5.316668
76592 , b , -7200 , 5.280666
76642 , b , -7200 , 5.318667
76692 , b , -7200 , 5.327999
76742 , b , -7200 , 5.305333
76792 , b , -7200 , 5.308667
76842 , b , -7200 , 5.289334
76892 , b , -7200 , 5.280667
76942 , b , -7200 , 5.264001
76992 , b , -7200 , 5.298001
77042 , b , -7200 , 5.275334
77092 , b , -7200 , 5.308665
77142 , b , -7200 , 5.326666
77192 , b , -7200 , 5.343334
77242 , b , -7200 , 5.267999
77292 , b , -7200 , 5.266000
77342 , b , -7200 , 5.279333
77392 , b , -7200 , 5.347333
77442 , b , -7200 , 5.296668
77492 , b , -7200 , 5.337333
77542 , b , -7200 , 5.300000
77592 , b , -7200 , 5.329999
77642 , b , -7200 , 5.344000
77692 , b , -7200 , 5.258667
77742 , b , -7200 , 5.294000
77792 , b , -7200 , 5.305333
77842 , b , -7200 , 5.331333
77892 , b , -7200 , 5.354000
77942 , b , -7200 , 5.318000
77992 , b , -7200 , 5.263333
78042 , b , -7200 , 5.312666
78092 , b , -7200 , 5.293334
78142 , b , -7200 , 5.339334
78871 , b , -7600 , 5.927331
78921 , b , -7600 , 5.920666
78971 , b , -7600 , 5.913333
79021 , b , -7600 , 5.885333
79071 , b , -7600 , 5.895998
79121 , b , -7600 , 5.933331
79171 , b , -7600 , 5.902665
79221 , b , -7600 , 5.941999
79271 , b , -7600 , 5.949997
79321 , b , -7600 , 5.956000
79371 , b , -7600 , 5.957997
79421 , b , -7600 , 5.914000
79471 , b , -7600 , 5.895332
79521 , b , -7600 , 5.931331
79571 , b , -7600 , 5.922663
79621 , b , -7600 , 5.909332
79671 , b , -7600 , 5.962666
79721 , b , -7600 , 5.967998
79771 , b , -7600 , 5.909332
79821 , b , -7600 , 5.871333
79871 , b , -7600 , 5.943997
79921 , b , -7600 , 5.985333
79971 , b , -7600 , 5.934666
80021 , b , -7600 , 5.946665
80071 , b , -7600 , 5.933332
80121 , b , -7600 , 5.951333
80171 , b , -7600 , 5.854000
80221 , b , -7600 , 5.941332
80271 , b , -7600 , 5.970000
80321 , b , -7600 , 5.969333
80371 , b , -7600 , 5.940000
80421 , b , -7600 , 5.879333
80471 , b , -7600 , 5.938666
80521 , b , -7600 , 5.897333
80571 , b , -7600 , 5.967999
80621 , b , -7600 , 5.917999
80671 , b , -7600 , 5.945999
80721 , b , -7600 , 5.928666
80771 , b , -7600 , 5.953331
80821 , b , -7600 , 5.884000
80871 , b , -7600 , 5.890665
81600 , b , -8000 , 6.443331
81650 , b , -8000 , 6.513332
81700 , b , -8000 , 6.461999
81750 , b , -8000 , 6.518001
81800 , b , -8000 , 6.510668
81850 , b , -8000 , 6.484000
81900 , b , -8000 , 6.464666
81950 , b , -8000 , 6.458664
82000 , b , -8000 , 6.473332
82050 , b , -8000 , 6.512001
82100 , b , -8000 , 6.433330
82150 , b , -8000 , 6.467999
82200 , b , -8000 , 6.486664
82250 , b , -8000 , 6.501334
82300 , b , -8000 , 6.477332
82350 , b , -8000 , 6.490666
82400 , b , -8000 , 6.495999
82450 , b , -8000 , 6.504665
82500 , b , -8000 , 6.463998
82550 , b , -8000 , 6.464666
82600 , b , -8000 , 6.473998
82650 , b , -8000 , 6.506001
82700 , b , -8000 , 6.517334
82750 , b , -8000 , 6.470665
82800 , b , -8000 , 6.482667
82850 , b , -8000 , 6.512667
82900 , b , -8000 , 6.522001
82950 , b , -8000 , 6.518001
83000 , b , -8000 , 6.445999
