"time_ms , temp_0 , temp_1 , temp_0-1 , diff_p , abs_p , sfm3300"
5385.9,830,781,49,42,253,0.0
5398.71,834,785,49,42,254,0.0
5411.19,829,781,48,42,254,0.0
5423.99,829,780,49,41,253,0.0
5437.45,833,784,49,42,254,0.0
5449.95,831,782,49,42,251,0.0
5462.81,835,785,50,43,254,0.0
5475.3,833,785,48,41,254,0.0
5487.63,829,782,47,42,253,0.0
5501.45,830,782,48,42,254,0.0
5513.97,829,781,48,42,253,0.0
5526.47,830,782,48,41,253,0.0
5539.35,834,785,49,42,254,0.0
5551.84,829,782,47,41,252,0.0
5564.5,830,780,50,43,252,0.0
5577.97,834,779,55,42,254,0.0
5590.41,830,782,48,42,254,0.0
5603.03,836,783,53,42,255,0.0
5615.78,833,785,48,42,254,0.0
5627.99,829,781,48,43,253,0.0
5640.99,834,784,50,41,254,0.0
5653.48,830,782,48,43,253,0.0
5665.9,830,783,47,42,251,0.0
5679.5,834,785,49,42,255,0.0
5692.0,831,782,49,42,253,0.0
5704.48,829,781,48,41,253,0.0
5717.32,833,782,51,42,254,0.0
5729.83,829,782,47,42,253,0.0
5742.48,829,780,49,42,252,0.0
5756.08,826,785,41,42,256,0.0
5768.51,830,781,49,43,253,0.0
5781.34,834,784,50,42,254,0.0
5793.81,835,791,44,42,254,0.0
5806.24,830,782,48,42,253,0.0
5819.97,833,784,49,42,255,0.0
5832.47,830,781,49,42,253,0.0
5844.99,828,782,46,42,253,0.0
5857.85,833,785,48,41,254,0.0
5870.35,829,781,48,42,253,0.0
5883.01,829,784,45,43,253,0.0
5896.52,833,784,49,42,254,0.0
5908.96,829,782,47,42,253,0.0
5921.63,834,785,49,41,255,0.0
5934.4,832,785,47,42,254,0.0
5946.69,829,781,48,42,253,0.0
5959.9,834,784,50,42,254,0.0
5972.39,827,783,44,43,253,0.0
5984.9,830,781,49,42,253,0.0
5998.24,833,783,50,43,254,0.0
6010.72,829,782,47,41,253,0.0
6023.27,827,781,46,41,253,0.0
6036.76,831,783,48,41,255,0.0
6049.28,830,781,49,41,253,0.0
6061.9,826,783,43,42,254,0.0
